DATE_ONLY,Lot,DATE_LOT,anomaly_window_count,max_combined_score,lot_status,severity_index,severity_bucket,assigned_image_seq,assigned_error_id,assigned_image_name,yolo_link_status,zip_internal_path,assigned_image_exists_extracted,local_image_path
2021-09-30,16,2021-09-30_16,16,19.271607313755823,이상,51.27,Critical,228,263,KEMP_IMG_DATA_Error_263.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╜║┼⌐╖í─í_KEMP_IMG_DATA_Error_263.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_263.png
2021-10-08,3,2021-10-08_3,15,27.5331439431372,이상,57.53,Critical,214,249,KEMP_IMG_DATA_Error_249.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╜║┼⌐╖í─í_KEMP_IMG_DATA_Error_249.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_249.png
2021-10-22,3,2021-10-22_3,15,14.986895440095166,이상,44.99,Critical,187,222,KEMP_IMG_DATA_Error_222.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_222.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_222.png
2021-10-25,16,2021-10-25_16,15,13.24857395834896,이상,43.25,Critical,121,126,KEMP_IMG_DATA_Error_126.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_126.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_126.png
2021-09-09,5,2021-09-09_5,14,27.85572842008776,이상,55.86,Critical,40,40,KEMP_IMG_DATA_Error_40.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/┐└┐░_KEMP_IMG_DATA_Error_40.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_40.png
2021-10-12,3,2021-10-12_3,13,12.747874640216944,이상,38.75,Critical,72,72,KEMP_IMG_DATA_Error_72.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/┐└┐░_KEMP_IMG_DATA_Error_72.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_72.png
2021-09-10,18,2021-09-10_18,12,22.66591742713877,이상,46.67,Critical,140,148,KEMP_IMG_DATA_Error_148.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_148.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_148.png
2021-10-26,1,2021-10-26_1,12,15.602325798471336,이상,39.6,Critical,126,134,KEMP_IMG_DATA_Error_134.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_134.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_134.png
2021-09-13,11,2021-09-13_11,12,8.972047107558199,이상,32.97,Critical,43,43,KEMP_IMG_DATA_Error_43.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/┐└┐░_KEMP_IMG_DATA_Error_43.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_43.png
2021-09-09,16,2021-09-09_16,11,35.47100753609205,이상,57.47,Critical,188,223,KEMP_IMG_DATA_Error_223.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_223.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_223.png
2021-09-28,16,2021-09-28_16,11,27.96621068264685,이상,49.97,Critical,10,10,KEMP_IMG_DATA_Error_10.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/┐└┐░_KEMP_IMG_DATA_Error_10.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_10.png
2021-10-06,6,2021-10-06_6,11,17.559890814736,이상,39.56,Critical,150,159,KEMP_IMG_DATA_Error_159.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_159.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_159.png
2021-10-07,6,2021-10-07_6,11,15.966439949156394,이상,37.97,Critical,141,149,KEMP_IMG_DATA_Error_149.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_149.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_149.png
2021-09-16,4,2021-09-16_4,11,15.033068276787294,이상,37.03,Critical,132,140,KEMP_IMG_DATA_Error_140.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╟╔╚ª_KEMP_IMG_DATA_Error_140.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_140.png
2021-10-07,20,2021-10-07_20,11,14.936868748946122,이상,36.94,Critical,92,92,KEMP_IMG_DATA_Error_92.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/┐└┐░_KEMP_IMG_DATA_Error_92.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_92.png
2021-10-14,17,2021-10-14_17,11,14.914398538408925,이상,36.91,Critical,48,48,KEMP_IMG_DATA_Error_48.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/┐└┐░_KEMP_IMG_DATA_Error_48.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_48.png
2021-09-14,14,2021-09-14_14,11,12.67961982176132,이상,34.68,Critical,169,179,KEMP_IMG_DATA_Error_179.png,matched_to_extracted_image,║╥╖« └╠╣╠┴÷ ╕≡└╜/╜║┼⌐╖í─í_KEMP_IMG_DATA_Error_179.png,True,/mnt/data/lot_defect_images_clean/KEMP_IMG_DATA_Error_179.png
