Number,Index,Lot,pH,Temp,Voltage,Datetime,Defect,DATE_ONLY,pH_abs_diff,pH_roll_mean_3,pH_roll_std_3,pH_acc,Temp_abs_diff,Temp_roll_mean_3,Temp_roll_std_3,Temp_acc,Voltage_abs_diff,Voltage_roll_mean_3,Voltage_roll_std_3,Voltage_acc,gmm_score,gmm_pred,knn_maha_score,knn_maha_pred,iforest_raw_pred,iforest_score,iforest_pred,lof_raw_pred,lof_score,lof_pred,normal_votes,final_label
27,27,1,1.81,40.43,19.19,2021-09-06 16:32:04,0,2021-09-06,0.27,1.9833333333333334,0.1504437879519567,-0.29000000000000004,0.0,41.81333333333333,2.3960036171369503,4.149999999999999,3.7700000000000014,16.616666666666667,2.230388605901077,3.5900000000000016,13.838199054882201,ANOMALY,3.054735620926957,ANOMALY,-1,0.5051909842036353,ANOMALY,-1,1.1056406492849207,ANOMALY,0,ANOMALY
103,103,2,2.16,42.99,15.27,2021-09-06 16:38:44,0,2021-09-06,0.18000000000000016,2.1333333333333333,0.14189197769195258,0.45999999999999996,0.8900000000000006,41.27,3.776201795455328,-7.830000000000005,0.11000000000000121,16.026666666666667,1.2165662058981155,1.9399999999999977,25.555931140907457,ANOMALY,3.8578833440606224,ANOMALY,-1,0.5255624101367415,ANOMALY,-1,1.0929901555132475,ANOMALY,0,ANOMALY
149,149,3,2.11,44.27,19.61,2021-09-06 16:42:57,0,2021-09-06,0.3500000000000001,2.1666666666666665,0.26950572040929555,-0.8800000000000001,3.1799999999999997,42.11000000000001,1.8715768752578732,3.059999999999995,4.26,17.073333333333334,2.2434422955211772,5.170000000000002,12.725978591457752,ANOMALY,3.7978364497333152,ANOMALY,-1,0.5774642183434535,ANOMALY,-1,1.1686748593567162,ANOMALY,0,ANOMALY
150,150,3,2.46,41.09,15.35,2021-09-06 16:43:02,0,2021-09-06,0.3500000000000001,2.3433333333333333,0.20207259421636928,0.7000000000000002,3.1799999999999997,42.150000000000006,1.8359738560230145,-6.359999999999999,4.26,16.77,2.459512146747805,-8.52,17.72164639738831,ANOMALY,4.533215909868863,ANOMALY,-1,0.6031926514383176,ANOMALY,-1,1.3609718421077721,ANOMALY,0,ANOMALY
151,151,3,1.93,44.56,17.11,2021-09-06 16:43:07,0,2021-09-06,0.53,2.1666666666666665,0.2695057204092958,-0.8800000000000001,3.469999999999999,43.30666666666667,1.9251580021736765,6.649999999999999,1.7599999999999998,17.356666666666666,2.14068524854387,6.02,16.927716306133966,ANOMALY,3.5895640681265375,ANOMALY,-1,0.5993437190838402,ANOMALY,-1,1.1174335084050775,ANOMALY,0,ANOMALY
167,167,3,2.16,44.45,18.08,2021-09-06 16:44:27,0,2021-09-06,0.18000000000000016,2.1999999999999997,0.24248711305964266,0.6600000000000001,2.960000000000001,42.34333333333334,1.8353564594741265,2.5600000000000023,2.5799999999999983,16.31,1.534698667491435,2.429999999999998,12.435069183407746,ANOMALY,3.330294277191997,ANOMALY,-1,0.5099196776762842,ANOMALY,-1,1.1548069521516708,ANOMALY,0,ANOMALY
219,219,4,1.83,44.97,16.11,2021-09-06 16:49:10,0,2021-09-06,0.1299999999999999,1.8733333333333333,0.07505553499464916,-0.2599999999999998,0.060000000000002274,43.36333333333334,2.731031551142048,-4.6399999999999935,3.1799999999999997,18.463333333333335,2.0678813634571336,-2.4800000000000004,17.382579903378318,ANOMALY,3.06199344201265,ANOMALY,-1,0.5081422327930153,ANOMALY,-1,1.2121035511605525,ANOMALY,0,ANOMALY
236,236,4,2.07,43.81,19.15,2021-09-06 16:50:35,0,2021-09-06,0.22999999999999976,2.09,0.2605762844159085,0.7499999999999996,1.3700000000000045,42.653333333333336,1.0661300733650376,0.6400000000000077,3.299999999999999,15.683333333333332,3.552933060632208,-0.5,20.900131079033056,ANOMALY,4.113793229320437,ANOMALY,-1,0.5434132970436331,ANOMALY,-1,1.1320292079844898,ANOMALY,0,ANOMALY
337,337,5,2.3,44.73,18.32,2021-09-06 16:59:23,0,2021-09-06,0.32999999999999985,2.073333333333333,0.19655363983740765,0.30999999999999983,0.23000000000000398,44.71666666666667,0.25026652459544885,-0.730000000000004,0.5700000000000003,17.746666666666666,0.5750072463311525,-0.00999999999999801,9.907886197598028,ANOMALY,2.543629568318236,ANOMALY,-1,0.5005487158552061,ANOMALY,-1,1.2381388619533498,ANOMALY,0,ANOMALY
338,338,5,1.89,40.94,18.52,2021-09-06 16:59:28,0,2021-09-06,0.4099999999999999,2.0533333333333332,0.21733231083604043,-0.7399999999999998,3.789999999999999,43.54333333333333,2.2574838500713983,-3.559999999999995,0.1999999999999993,18.19666666666667,0.39954140377856445,-0.370000000000001,10.672806605536664,ANOMALY,2.623872860036941,ANOMALY,-1,0.5411184419984069,ANOMALY,-1,1.2567425634966836,ANOMALY,0,ANOMALY
390,390,6,2.41,44.99,18.74,2021-09-06 17:04:09,0,2021-09-06,0.29000000000000004,2.2033333333333336,0.1800925687898706,0.25,1.0800000000000054,43.199999999999996,2.231389701508908,-2.1299999999999883,0.16000000000000014,17.996666666666666,1.1517088752516098,-1.7499999999999964,13.032577997356162,ANOMALY,3.5690008314285153,ANOMALY,-1,0.5197380901869977,ANOMALY,-1,1.1453484260692959,ANOMALY,0,ANOMALY
391,391,6,2.1,40.57,16.3,2021-09-06 17:04:14,0,2021-09-06,0.31000000000000005,2.2100000000000004,0.17349351572897756,-0.6000000000000001,4.420000000000002,43.156666666666666,2.304285861895904,-5.500000000000007,2.4399999999999977,17.873333333333335,1.3648931582117803,-2.599999999999998,10.436572067878377,ANOMALY,3.231272781474175,ANOMALY,-1,0.5380759992367212,ANOMALY,-1,1.2783018039321379,ANOMALY,0,ANOMALY
